"Hits: 3697","page_num: 1","page_size: 2000","Keyword Version: 21.1","Revision: 2025-04-21 07:18:04","Timestamp: 2025-04-27 22:52:39","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/providers/?format=xml","Case native"
Bucket_Level0,Bucket_Level1,Bucket_Level2,Bucket_Level3,Short_Name,Long_Name,Data_Center_URL,UUID
"ACADEMIC","","","","NC-STATE/BASIC/NCGAP","NC Gap Analysis Project, Biological and Spatial Information Center, North Carolina State University","http://www.basic.ncsu.edu/ncgap/","563397d3-b864-45f2-b1e3-482ba7f60f30"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NORTH CAROLINA","","","NC/BG/BONAP","Biota of North America Program, Botanical Garden, North Carolina","http://www.bonap.org/","074e28c1-0715-4d6b-bc32-b487f721dfac"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NORTH CAROLINA","","","NC/CGIA","Center for Geographic Information and Analysis, North Carolina","http://cgia.cgia.state.nc.us/cgia/","027e6179-676e-4409-a872-281962c2d92c"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NORTH CAROLINA","","","NC/DACS","Department of Agriculture and Consumer Services,  North Carolina","http://www.ncagr.com/","8b06f7dc-60a7-4be6-b8c4-020f72a275ed"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NORTH CAROLINA","","","NC/NCSU/CLIM","State Climate Office, North Carolina State University, North Carolina","https://climate.ncsu.edu/","e611cbdf-2875-4870-8f3f-1ac2d1741e15"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","NCGR","National Center for Genome Research","http://www.ncgr.org/","56ac8c7f-b540-4667-b559-4689503c522b"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NORTHEAST REGION","","","NE-R/IEC","Interstate Environmental Commission","http://iec-nynjct.org","ef0fc1f3-aef8-4550-b968-f4d3f7e65509"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NORTHEAST REGION","","","NE-R/NRCC","Northeast Regional Climate Center","http://www.nrcc.cornell.edu/","01715ff7-03da-4665-b50d-b70c3af56d4f"
"GOVERNMENT AGENCIES-NON-US","NEPAL","","","","","","411e2e91-b110-4434-9289-505d9c5730e9"
"CONSORTIA/INSTITUTIONS","","","","NERSC","Nansen Environmental and Remote Sensing Centre","http://www.nersc.no/main/index2.php","28f0e118-9b87-4173-8189-52ed2eb5adfb"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","","","","1393c573-91ca-4608-bf06-b692c54ad04a"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW HAMPSHIRE","","","","","","e4059b7e-867d-46fd-a012-50964dbefe94"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW JERSEY","","","","","","699b0e5a-6dbd-47aa-b0ca-c4502f044e35"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW MEXICO","","","","","","5131a3aa-4563-4b7f-ae39-6d91e3f18efe"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW YORK","","","","","","eec285a7-1aeb-448c-9dfe-50912cd30e3e"
"GOVERNMENT AGENCIES-NON-US","NEW ZEALAND","","","","","","1c0424af-bf13-4e3b-b1dc-aa68005cc6c6"
"ACADEMIC","","","","NEWHAVEN/BES","Department of Biology and Environmental Science, University of New Haven","http://www.newhaven.edu/4505/","f129063e-255e-41d4-ba88-da4d3af5c68c"
"COMMERCIAL","","","","NEWTEL","Newtel Communications Inc.","http://www.newtel.com","1a8abd2b-2e70-4d33-ad5f-2123bce96d65"
"CONSORTIA/INSTITUTIONS","","","","NFPA/FW","Firewise, National Fire Protection Association","http://www.firewise.org/","6ceca90b-58d9-4034-9556-ea9055ee8461"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","NGS","National Geographic Society","http://www.nationalgeographic.com/","c909901e-ec51-4e55-8960-46d8e66f99f7"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW HAMPSHIRE","","","NH/CLIM","State Climate Office, New Hampshire","http://www.unh.edu/stateclimatologist/","b718ee0e-588c-479c-8958-3101030e4a90"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW HAMPSHIRE","","","NH/DES","Department of Environmental Services, New Hampshire","http://des.nh.gov/","5e7207d8-c3dc-412a-847a-ad5175d458fb"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW HAMPSHIRE","","","NH/DES/WD/WMB","Watershed Management Bureau, Water Division, Department of Environmental Sciences, New Hampshire","http://des.nh.gov/organization/divisions/water/wmb/was/","915e4294-202f-40f1-a9f6-dab756a0e319"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW HAMPSHIRE","","","NH/FG","New Hampshire Fish and Game Department","http://www.wildlife.state.nh.us/","cd235674-f7b5-48a7-8929-a9e771ad32f1"
"ACADEMIC","","","","NHML","THE NATURAL HISTORY MUSEUM, LONDON","www.nhm.ac.uk","62a8d1c5-c8cc-4b48-9780-47814eaf9115"
"GOVERNMENT AGENCIES-NON-US","NICARAGUA","","","NI/MARENA","Ministerio del Ambiente y Recursos Naturales (Ministry of the Atmosphere and Natural Resources), Nicaragua","http://www.marena.gob.ni/","21855c95-b629-4649-9adc-4d5ac84a8d15"
"CONSORTIA/INSTITUTIONS","","","","NIBS","National Institute of Building Sciences","http://www.nibs.org","b5745393-c9ab-4a35-aca1-370dbed5a1ec"
"GOVERNMENT AGENCIES-NON-US","NICARAGUA","","","","","","af130845-82bc-48f9-9c2a-c78fb5b6d24e"
"CONSORTIA/INSTITUTIONS","","","","NIFC/NICC","National Interagency Coordination Center, National Interagency Fire Center","http://www.nifc.gov/news/nicc.html","5d479900-273d-4318-bca1-0c63b5607dde"
"ACADEMIC","","","","NIHN/RIHN","Research Institute for Humanity and Nature, National Institutes for the Humanities of the Inter-University Research Institute Corporation","http://www.chikyu.ac.jp/","5f0cc990-eb33-4738-b3de-3b0d48f47b3d"
"CONSORTIA/INSTITUTIONS","","","","NILU","Norwegian Institute for Air Research","http://www.nilu.no/","3c8b7605-7822-4554-ab5e-796cedc81d43"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NITG","The Netherlands Institute of Applied Geoscience","http://www.nitg.tno.nl/eng/institute/index.shtml","8fcb9f8e-67a2-42a9-8d11-d8b4c7f50fd4"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW JERSEY","","","NJ/CLIM","State Climatologist, New Jersey","http://climate.rutgers.edu/stateclim/","093b762c-1adb-465b-a034-258a23bb1f37"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW JERSEY","","","NJ/DEP/FGW","Division of Fish and Wildlife, Department of Environmental Protection, New Jersey","https://state.nj.us/dep/fgw/","edfe4972-dbb2-45a8-84e6-c4a64c593137"
"ACADEMIC","","","","NL-U/GEOG","Department of Geography, Northern Illinois University","","3bb39baa-365e-4f73-8e68-062ea7fe0242"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/EPROVINCIES","EProvincies, Netherlands","http://www.e-provincies.nl/","81f773aa-a11d-42ec-a21f-e64bf4205ec3"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/KNAW/DANS","Data Archiving and Networked Services, Royal Netherlands Academy of Arts and Sciences, Netherlands","http://www.dans.knaw.nl/en","b1d2377e-d822-44f1-bae6-efe6ed5cb4ec"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/KNMI","Royal Netherlands Meteorological Institute, Netherlands","http://www.knmi.nl/","a880ba7c-0764-41d0-896b-32fca06ba3f8"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/MECS/ITC","International Institute for Geo-Information Science and Earth Observation, Ministry of Education, Culture and Science, Netherlands","http://www.itc.nl/","5e38afa1-4ba9-45db-a4af-86061e1e06e5"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/NIOO-KNAW","Netherlands Institute of Ecology, Royal Netherlands Academy of Arts and Sciences, Netherlands","http://www.nioo.knaw.nl/en/node/12","9e44133a-9a11-4025-b90a-29c88390d8d2"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/NIOO-KNAW/CEMO","Centre for Estuarine and Coastal Ecology, Netherlands Institute of Ecology, Royal Netherlands Academy of Arts and Sciences, Netherlands","http://www.nioo.knaw.nl/","066281e3-df09-4d94-88ae-ff5a6aa1a56a"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/NWO/NIOZ","Royal Netherlands Institute for Sea Research (NIOZ)","http://www.nioz.nl","fcf04b79-986e-4ddd-95e6-0570a2a77170"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/NWO/NIOZ/NADC","National Antarctic Data Centre, Netherlands Institute for Sea Research, Netherlands Organization for Scientific Research, Netherlands","http://www.nioo.knaw.nl/","6e3313de-b15a-4592-88df-029103019671"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/NWO/NIOZ/NPDC","Netherlands National Polar Data Centre, Royal Netherlands Institute for Sea Research, Netherlands Organization for Scientific Research, Netherlands","http://www.nioz.nl/dmg","3b952903-baba-421b-8952-2e717ad05c42"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/PBL","Netherlands Environmental Assessment Agency","http://www.pbl.nl/en","ecbc61b1-1a48-4f1c-b788-6e49e1bd6ce6"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/RIVM","National Institute of Public Health and the Environment, Netherlands","http://www.rivm.nl/","0d1878dd-b56e-4df4-9e43-31ae46c658b3"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/RWS-RIKZ","Rijksinstituut voor Kust en Zee (Institute for Marine and Coastal Management), Netherlands","http://www.rijkswaterstaat.nl/rws/riza/home/waterdienst/index.html","2e13d23d-d49c-43a3-a3ec-259d274d476b"
"GOVERNMENT AGENCIES-NON-US","NETHERLANDS","","","NL/SRON","Space Research Organization Netherlands","http://titan.sron.nl/www/code/home/","e974f9ed-5582-4927-bd4a-aa6cc43dfeaa"
"ACADEMIC","","","","NM-STATE/CAHE/AEAB","Agricultural Economics and Agricultural Business,  College of Agriculture and Home Economics, New Mexico State University","http://www.cahe.nmsu.edu/welcome.html","383c44cd-8163-49d9-9f9b-e32f5f638629"
"ACADEMIC","","","","NM-STATE/CE/CAGE","Civil and Geological Engineering Department, College of Engineering, New Mexico State University","http://cagesun.nmsu.edu/","e62ccead-2fb1-48b4-92fb-ca091f3cd04e"
"ACADEMIC","","","","NM-STATE/WRRI","Water Resources Research Institute, New Mexico State University","http://wrri.nmsu.edu/","458cc800-a24c-4527-96b6-fe4ea82e5c72"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW MEXICO","","","NM/BM/NMGRL/AL","Argon Lab, Geochronology Research Laboratory,  Bureau of Mines, New Mexico","https://geoinfo.nmt.edu/labs/argon/home.html","f38fd56e-791b-42b6-ba21-753334cb38a2"
"MULTINATIONAL ORGANIZATIONS","","","","NMDB","Neutron Monitor DataBase","http://www.nmdb.eu","21381e06-7e96-4766-9276-809569a2613a"
"ACADEMIC","","","","NMTECH/EES/MEVO","Mount Erebus Volcano Observatory, Earth and Environmental Science Department, New Mexico Institute of Mining and Technology","http://www.ees.nmt.edu/Geop/Erebus/erebus.html","a13c4fae-2dcf-429d-b361-29fa5c09d0ca"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/CRYOCLIM","CryoClim - Monitoring Climate Change in the Cryosphere, Norway","http://www.cryoclim.net/cryoclim/index.php/HOME","9a48004f-90fe-4785-99a9-1cb19c0cc839"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/IMR","Institute of Marine Research, Bergen, Norway","http://www.imr.no/english/main","44b3abf0-e4dd-4d4a-8aa4-3bd65986ec27"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/MET","Norwegian Meteorological Institute, Norway","http://met.no/","1595f671-8978-48a8-ae99-e3a82d2450d5"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/MF/IMR","Institute of Marine Research, Ministry of Fisheries, Norway","http://www.imr.no/","dbecea67-e94d-4b75-a329-3886252894ed"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/MPE/NVE","The Norwegian Water Resources and Energy Directorate, Ministry of Petroleum and Energy, Olso, Norway","http://www.nve.no/","cd299aeb-105b-48e6-b647-8e3de5165de4"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/NGU","Geological Survey of Norway, Norway","http://www.ngu.no/en-gb/","a9a1e3da-060b-44b3-a95e-43d432767980"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/NINA","Norwegian Institute for Nature Research","http://www.nina.no/ninaenglish/Start.aspx","a22d24ff-9adf-4746-ae41-2ede02c4f238"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/NIVA","Norwegian Institute for Water Research, Norway","http://www.niva.no/en/forsiden","b821b627-e2c6-445e-a179-dabfa129ea93"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/NIVA/AKVAPLAN","Akvaplan, Norwegian Institute for Water Research, Norway","http://www.akvaplan.niva.no/en/","0651be56-3c2d-4e50-80c5-1ddda08ea216"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/NMA","Norwegian Mapping Agency, Norway","http://www.statkart.no/","bf96ae05-adf8-4939-a743-ff4346a2dac1"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/NMDC/IMR","Institute of Marine Research, Norwegian Marine Data Centre, Norway","http://www.imr.no","8c0f4a9c-b503-4943-89a7-d2d0e4d40a0c"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/NPCA/SOE","State of the Environment, Norwegian Pollution Control Authority, Norway","http://www.environment.no/","a067d167-0af9-48a0-9130-aa8386c6b257"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/NPI","Norwegian Polar Institute, Norway","http://www.npolar.no","cafa9e00-11f3-45b0-a63d-335de7eb09cc"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","NO/NR","Norwegian Computing Center, Norway","http://www.nr.no/","aef9b93e-8ed9-4643-8079-c9642d1d8f95"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","NO/SN","Statistics Norway, Norway","http://www.ssb.no/english/","ee8004c2-516f-4615-8c1b-5f459bf026a4"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","","","http://www.noaa.gov/","c9003d36-020d-4e86-995a-498945576c23"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","","","","f8762581-b92f-48f9-b077-964ee6b0c8ee"
"CONSORTIA/INSTITUTIONS","","","","NOPP","National Oceanographic Partnership Program","http://www.nopp.org/","3312a071-b4f7-453b-a84f-ced5cb38275d"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NORTH CAROLINA","","","","","","cc13a7db-d2be-43ce-9b6c-cf810639d0d7"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NORTHEAST REGION","","","","","","f7e1f17b-7145-49ff-92c5-455ba506f13f"
"ACADEMIC","","","","Northern-Vermont/METEO","Meteorology Department, Northern Vermont University","http://atmos.northernvermont.edu/","6bf72b34-e111-4870-9059-a028660fdadd"
"CONSORTIA/INSTITUTIONS","","","","NORUT-TROMSO","Northern Research Institute Tromso, Tromso, Norway","http://www.norut.no/en/Norut","d06e2685-3e61-447c-97d0-65b906eeff81"
"GOVERNMENT AGENCIES-NON-US","NORWAY","","","","","","1fd46455-75d7-477e-b7df-6a343c068d47"
"GOVERNMENT AGENCIES-NON-US","NEPAL","","","NP/DMG","Department of Mines & Geology, Nepal","http://www.nepalhmg.gov.np/mine/index.html","ba07ed8e-3bdc-4b86-97b8-b2305d3f0d4d"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NSF","","","","","http://www.nsf.gov/","13215210-664a-4636-96a8-cf8713e94c76"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","NSGIC","National States Geographic Information Council","http://nsgic.org/","c7898f3c-6525-496f-a1f9-7794e6cabf7d"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","NSIDC_AGDC","NSIDC Antarctic Glaciological Data Center","http://nsidc.org/agdc/","54166544-8812-4375-ab5f-85bbd23e6197"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","NSIDC_FGDC","Frozen Ground Data Center","http://nsidc.org/fgdc/","5564cebc-62cb-4791-ba8e-d20bea81fa65"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","NSIDC_NOAA","National Oceanic and Atmospheric Administration at the National Snow and Ice Data Center","http://nsidc.org/noaa/","1dca7411-5353-41fd-9ae4-6ad4b3be4274"
"CONSORTIA/INSTITUTIONS","","","","NSO/GONG","Global Oscillation Network Group, National Solar Observatory","http://gong.nso.edu/","26ed0a22-5e2e-4951-a44b-f9dc0c3b9bfc"
"CONSORTIA/INSTITUTIONS","","","","NSO/KP","National Solar Observatories, Kitt Peak","http://nsokp.nso.edu","724fa742-11b6-4c6f-833b-c5a6052d7839"
"CONSORTIA/INSTITUTIONS","","","","NSO/SP","National Solar Observatories, Sacramento Peak","http://www.sunspot.noao.edu","6dba7284-9003-4773-a310-b24bc18112c6"
"ACADEMIC","","","","NTNU/BIO","Department of Biology, Norwegian University of Science and Technology, Norway","http://www.ntnu.edu/biology","4af6d623-5540-4445-9d67-287bf73ecd82"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","NWAIN/SN","STREAMNET, Northwest Aquatic Information Network","http://www.streamnet.org/","193b4bdb-5a6b-4bb1-b414-2debc8d5ec4a"
"COMMERCIAL","","","","NWRA","Northwest Research Associates, Inc.","http://www.nwra.com/","7fea2f6f-bc11-4b4b-bd66-07d70da24924"
"ACADEMIC","","","","NWU/SESP","School of Education and Social Policy, Northwestern University","http://www.sesp.northwestern.edu/","e8e8bbf1-ac51-4255-b7d0-e9ce02b2e203"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW YORK","","","NY-NJ/HEP/DD","Data Depot, Harbor Estuary Program,  New York-New Jersey","http://www.harborestuary.org/","19eff341-e34b-47e0-931e-7b3e02139f3e"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW YORK","","","NY/CLIM","State Climate Office, New York","http://nysc.eas.cornell.edu/","58611370-a4a3-4509-a810-6673672f5626"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW YORK","","","NY/DEC/BMR","Bureau of Marine Resources, Department of Environmental Conservation, New York","http://www.dec.state.ny.us/website/regs/part41.html","6e101a13-8287-4520-afdb-0e6692021336"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW YORK","","","NY/DEC/DFWMR/MARINE","Bureau of Marine Resources, Division of Fish, Wildlife and Marine Resources, Department of Environmental Conservation, New York","http://www.dec.ny.gov/animals/201.html","a3a80ab4-2bbf-4913-89b9-9d651d78ad74"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW YORK","","","NY/DH/WC","Wadsworth Center, Department of Health, New York","http://www.wadsworth.org/","549c388e-250b-4336-b3c8-30eb1cce3e75"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW YORK","","","NY/ED/NYSM","New York State Museum, Education Department, New York","http://www.nysm.nysed.gov","396b91dc-74e6-436f-9345-5b4b20098593"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","NEW YORK","","","NY/NYPA","New York Power Authority","http://www.nypa.gov/","2db28bfd-4eda-4510-9445-4bb24329a82e"
"ACADEMIC","","","","NYU/CIMS/CAOS","Center for Atmosphere Ocean Science, Courant Institute of Mathematical Sciences, New York University","http://caos.cims.nyu.edu/page/home","3aa79e6c-1b22-478e-801a-74b5c4a614c5"
"GOVERNMENT AGENCIES-NON-US","NEW ZEALAND","","","NZ/GNS","Institute of Geological and Nuclear Sciences Ltd., New Zealand","http://www.gns.cri.nz","5567f76c-3e98-4ef5-be15-3159c74d555a"
"GOVERNMENT AGENCIES-NON-US","NEW ZEALAND","","","NZ/NIWA","National Institute of Water and Atmospheric Research Ltd, New Zealand","http://www.niwa.co.nz","85491767-fee2-4e8f-89d8-eebb5a5987d1"
"GOVERNMENT AGENCIES-NON-US","NEW ZEALAND","","","NZ/NZAI/ANZ","Antarctica New Zealand, New Zealand Antarctic Institute, New Zealand","https://www.antarcticanz.govt.nz/","7cb41532-3dc3-4cd4-94fa-12d265baed00"
"ACADEMIC","","","","OAU/AG/SOIL","Department of Soil Science, Faculty of Agriculture, Obafemi Awoldwo University","http://www.oauife.edu.ng/faculties/agric/","6efee73d-7948-41c2-96e8-0cd7f052a795"
"ACADEMIC","","","","OBS-VLFR/CYBER","CYBER/L'Observatoire de Villefranche sur Mer","http://www.obs-vlfr.fr/proof/index_vt.htm","94bd0ddd-de4f-47f1-8a2b-20d1920c0ad6"
"COMMERCIAL","","","","OCEANOR","Oceanographic Company of Norway AS","http://oblea.oceanor.no/","fc62e7af-25c9-4722-b214-7572aec61c46"
"CONSORTIA/INSTITUTIONS","","","","OCF","Open Channel Foundation","http://www.openchannelfoundation.org/","23288707-d658-4179-a076-78ddaf57eb58"
"ACADEMIC","","","","ODU/CCPO","Center for Coastal Physical Oceanography, Old Dominion University","http://www.ccpo.odu.edu/","249e17a5-7716-460e-9e03-35fa7454a4ba"
"ACADEMIC","","","","ODU/CQFE","Center for Quantitative Fisheries Ecology, Old Dominion University","http://www.odu.edu/sci/cqfe/","33350026-e1a2-480e-a1ae-2dd2ab383f39"
"CONSORTIA/INSTITUTIONS","","","","OG","OneGeology","http://www.onegeology.org/","88002ac9-935b-4bcf-a021-97d278adcb17"
"CONSORTIA/INSTITUTIONS","","","","OGC","Open Geospatial Consortium","http://www.opengeospatial.org/","a7137177-9bee-4053-8a11-7f5bdd4548b6"
"ACADEMIC","","","","OH-STATE/BPRC","Byrd Polar Research Center, The Ohio State University","http://bprc.osu.edu/","232b5eca-e461-413e-a3ab-05bbb62857f4"
"ACADEMIC","","","","OH-STATE/BPRC/AGD","Antarctic Geologic Database, Byrd Polar Research Center, The Ohio State University","http://www.geology.ohio-state.edu/agg-group/databases.html","bf09dd12-f6f6-4562-824a-ed443f776e56"
"ACADEMIC","","","","OH-STATE/FABE","Food, Agriculture and Biological Engineering, The Ohio State University","http://www.oardc.ohio-state.edu/fabe/","c8f9ef07-84da-49f3-99a1-d712aae5b03c"
"ACADEMIC","","","","OH-STATE/GEOL","Department of Geological Sciences, The Ohio State University","http://www.geology.ohio-state.edu/","c97479f9-6e33-4281-8f16-b24d75da0a21"
"ACADEMIC","","","","OH-STATE/LIB","University Libraries, The Ohio State University","http://www.lib.ohio-state.edu/","01a888c4-d51b-40b5-9cc9-fcb82d022ab3"
"ACADEMIC","","","","OH-STATE/STAT/SSES","Program in Spatial Statistics and Environmental Sciences, Department of Statistics, The Ohio State University","http://www.stat.ohio-state.edu/~sses/","ea81a73e-ed0d-4e16-987a-1fb895261dc4"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","OHIO","","","OH/CLIM","State Climate Office, Ohio","http://www.geography.osu.edu/faculty/rogers/statclim.html","ae6e841b-d3fe-412b-89a1-6059ee7618f8"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","OHIO","","","","","","f0c95f9e-8756-4d98-8b9d-318350e3db33"
"ACADEMIC","","","","OITA/CHEM-ENG","Department of Applied Chemistry and Engineering, Oita University","http://www.appc.oita-u.ac.jp/index-e.html","039d227a-3143-4c1a-b6fa-e335ba120bf8"
"ACADEMIC","","","","OK-STATE/BIOSYSTEMS","Biosystems and Agricultural Engineering, Oklahoma State University","http://bioen.okstate.edu/index.html","e5b98bc7-22ff-46cd-81f6-f048ca894cf5"
"ACADEMIC","","","","OK-STATE/GEOG/OCGI","Oklahoma Center for Geospatial Information, Department of Geography, Oklahoma State University","http://www.ocgi.okstate.edu/","9ce151b4-89d6-4508-bd6f-6a429cc69f4d"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","OKLAHOMA","","","OK/OCS","Oklahoma Climatological Survey, Oklahoma","http://climate.ok.gov/","f8495a22-5ccb-4c25-a0ca-123897f8cd84"
"ACADEMIC","","","","OKAYAMA-MISASA/ISEI","Institute for Study of the Earth's Interior, Okayama University at Misasa","http://www.misasa.okayama-u.ac.jp/","73e860f6-0e2d-4432-8f1a-606ed5ad2abb"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","OKLAHOMA","","","","","","dceb2ee0-dd1c-46db-9395-d4ad33d660d5"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","OL","OCEANLINK","http://oceanlink.island.net/","9cadc00a-0aa0-4653-b8fe-e63861065ab4"
"COMMERCIAL","","","","OMNISCALE","Omniscale","http://omniscale.de/en/","2897758e-b326-48f9-bba6-347bdb93d5c8"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","OPENDAP","OPeNDAP Inc.","http://www.opendap.org/","237c661e-c0c0-4eab-a5e1-8c61f276f4b8"
"CONSORTIA/INSTITUTIONS","","","","OPENLAYERS","OpenLayers","http://openlayers.org/","4fbba306-0cd6-46c1-a189-e233d7bab105"
"COMMERCIAL","","","","OPL","Oilfield Publications Limited","http://www.oilpubs.com/","0e5e7b55-b5f0-480e-83e1-298e1daefab0"
"ACADEMIC","","","","OR-STATE/COF/FES","Forest Ecosystems and Society, College of Forestry, Oregon State University","http://fes.forestry.oregonstate.edu/","fe155403-69a1-4f66-a677-2e0bd3d8d63d"
"ACADEMIC","","","","OR-STATE/CROP-SOIL","Department of Crop and Soil Science, Oregon State University","http://cropandsoil.oregonstate.edu/","8748d88c-3da5-4be6-a3f5-ba693feb20eb"
"ACADEMIC","","","","OR-STATE/EOARC","","","f1c55d9c-357b-4ae2-8c5a-baed9748d604"
"ACADEMIC","","","","OR-STATE/FOREST/FSL","Corvallis Forestry Research Community, Department of Forest Science, Oregon State University","http://www.fsl.orst.edu","ec28f32e-2c90-448b-a968-cba608f1e0a4"
"ACADEMIC","","","","OR-STATE/FS","FOREST SCIENCE, OREGON STATE UNIVERSITY","http://www.cof.orst.edu/cof/fs/","49b9200d-3cac-41f6-bf99-4e14865b336c"
"ACADEMIC","","","","OR-STATE/LARSE","Laboratory for Applications of Remote Sensing in Ecology, Oregon State University","http://www.fsl.orst.edu/larse/","59e987a3-0da0-43d7-88d5-22c8ec06d6b7"
"ACADEMIC","","","","OR-STATE/NACSE","Northwest Alliance for Computational Science & Engineering, Oregon State University","https://www.nacse.org/","4903413a-ce33-4bd2-8be4-766f67b8589e"
"ACADEMIC","","","","OR-STATE/RSOO","Remote Sensing Ocean Optics, Oregon State University","http://picasso.oce.orst.edu/ORSOO/","018159fa-b94f-444c-9dbe-c2d2dd753593"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","OREGON","","","OR/CLIM","Oregon Climate Service, Oregon","http://ocs.oregonstate.edu/","9a7519e2-a0aa-4d78-b3f9-9e605e029b84"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","OREGON","","","OR/ODFW/NRIMP","Natural Resources Information Management Program, Oregon Department of Fish and Wildlife, Oregon","http://rainbow.dfw.state.or.us/nrimp/default.aspx","d39fa55e-6063-4203-8ffb-55664151afd7"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","OREGON","","","","","","bd836f66-3425-4c7f-ab0c-974248ce1756"
